geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,2020-11-27,940289,10615814.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,2020-11-27,37,417.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,2020-11-27,432,4877.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,2020-11-27,1373,15501.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,2020-11-27,911,10285.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,2020-11-27,525,5927.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,2020-11-27,97,1095.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,2020-11-27,52,587.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,2020-11-27,64,722.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,2020-11-27,22423,253154.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,2020-11-27,26800,302570.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,2020-11-27,93,1049.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,2020-11-27,103,1162.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,2020-11-27,1171,13220.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,2020-11-27,910,10273.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,2020-11-27,185,2088.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,2020-11-27,268,3025.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,2020-11-27,1716,19373.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,2020-11-27,3279,37019.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,2020-11-27,24,270.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,2020-11-27,335,3782.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,2020-11-27,131,1478.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,2020-11-27,596,6728.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,2020-11-27,143,1614.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,2020-11-27,10980,123963.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,2020-11-27,1069,12068.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,2020-11-27,71,801.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,2020-11-27,101,1140.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,2020-11-27,270,3048.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,2020-11-27,44,496.0
