geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,2020-10-27,1022269,10991682.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,2020-10-27,20,215.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,2020-10-27,242,2602.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,2020-10-27,465,4999.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,2020-10-27,494,5311.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,2020-10-27,384,4128.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,2020-10-27,48,516.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,2020-10-27,19,204.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,2020-10-27,23,247.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,2020-10-27,8743,94006.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,2020-10-27,16177,173938.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,2020-10-27,35,376.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,2020-10-27,54,580.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,2020-10-27,554,5956.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,2020-10-27,494,5311.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,2020-10-27,186,1999.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,2020-10-27,182,1956.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,2020-10-27,910,9784.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,2020-10-27,1699,18268.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,2020-10-27,43,462.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,2020-10-27,152,1634.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,2020-10-27,46,494.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,2020-10-27,265,2849.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,2020-10-27,97,1042.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,2020-10-27,6353,68308.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,2020-10-27,478,5139.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,2020-10-27,71,763.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,2020-10-27,75,806.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,2020-10-27,194,2085.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,2020-10-27,13,139.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,2020-10-27,151,1623.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,2020-10-27,110,1182.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,2020-10-27,252,2709.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,2020-10-27,1225,13171.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,2020-10-27,35,376.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,2020-10-27,548,5892.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,2020-10-27,262,2817.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,2020-10-27,89,956.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,2020-10-27,294,3161.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,2020-10-27,9,96.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,2020-10-27,805,8655.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,2020-10-27,69,741.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,2020-10-27,7106,76405.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,2020-10-27,2029,21816.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,2020-10-27,145,1559.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,2020-10-27,26,279.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,2020-10-27,576,6193.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,2020-10-27,139,1494.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,2020-10-27,103,1107.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,2020-10-27,141,1516.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,2020-10-27,62,666.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,2020-10-27,31,333.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,2020-10-27,26,684.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,2020-10-27,43755,1151097.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,2020-10-27,290,7629.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,2020-10-27,37,973.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,2020-10-27,220,5787.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,2020-10-27,82,2157.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,2020-10-27,3,78.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,2020-10-27,2,52.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,2020-10-27,1,26.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,2020-10-27,149,3919.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,2020-10-27,51,1341.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,2020-10-27,56,1473.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,2020-10-27,59,1552.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,2020-10-27,20,526.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,2020-10-27,15,394.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,2020-10-27,4,105.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,2020-10-27,18,473.0
02,21,-151.59342192189865,63.742989015090714,-85.29055223275348,37.5266141736611,2020-10-27,34,894.0
02,22,-151.59342192189865,63.742989015090714,-91.81423318426776,30.909072897746587,2020-10-27,80,2104.0
02,23,-151.59342192189865,63.742989015090714,-69.20275986278288,45.27432853102379,2020-10-27,12,315.0
