geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,11/23/20 - 11/29/20,2659348,29928284.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,11/23/20 - 11/29/20,102,1147.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,11/23/20 - 11/29/20,2024,22778.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,11/23/20 - 11/29/20,3572,40199.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,11/23/20 - 11/29/20,3148,35427.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,11/23/20 - 11/29/20,2297,25850.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,11/23/20 - 11/29/20,306,3443.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,11/23/20 - 11/29/20,131,1474.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,11/23/20 - 11/29/20,306,3443.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,11/23/20 - 11/29/20,79411,893690.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,11/23/20 - 11/29/20,89602,1008380.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,11/23/20 - 11/29/20,384,4321.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,11/23/20 - 11/29/20,298,3353.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,11/23/20 - 11/29/20,3093,34808.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,11/23/20 - 11/29/20,2601,29271.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,11/23/20 - 11/29/20,324,3646.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,11/23/20 - 11/29/20,618,6954.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,11/23/20 - 11/29/20,4510,50755.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,11/23/20 - 11/29/20,9267,104290.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,11/23/20 - 11/29/20,77,866.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,11/23/20 - 11/29/20,911,10252.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,11/23/20 - 11/29/20,393,4422.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,11/23/20 - 11/29/20,1301,14641.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,11/23/20 - 11/29/20,371,4175.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,11/23/20 - 11/29/20,38789,436531.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,11/23/20 - 11/29/20,3417,38454.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,11/23/20 - 11/29/20,234,2633.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,11/23/20 - 11/29/20,324,3646.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,11/23/20 - 11/29/20,1775,19975.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,11/23/20 - 11/29/20,106,1192.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,11/23/20 - 11/29/20,1076,12109.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,11/23/20 - 11/29/20,329,3702.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,11/23/20 - 11/29/20,1158,13032.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,11/23/20 - 11/29/20,9443,106271.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,11/23/20 - 11/29/20,108,1215.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,11/23/20 - 11/29/20,2504,28179.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,11/23/20 - 11/29/20,1458,16408.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,11/23/20 - 11/29/20,243,2734.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,11/23/20 - 11/29/20,1651,18580.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,11/23/20 - 11/29/20,45,506.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,11/23/20 - 11/29/20,5140,57845.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,11/23/20 - 11/29/20,195,2194.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,11/23/20 - 11/29/20,78072,878621.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,11/23/20 - 11/29/20,13172,148237.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,11/23/20 - 11/29/20,523,5885.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,11/23/20 - 11/29/20,24,270.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,11/23/20 - 11/29/20,3826,43057.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,11/23/20 - 11/29/20,457,5143.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,11/23/20 - 11/29/20,623,7011.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,11/23/20 - 11/29/20,685,7708.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,11/23/20 - 11/29/20,237,2667.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,11/23/20 - 11/29/20,12,135.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,11/23/20 - 11/29/20,232,7244.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,11/23/20 - 11/29/20,89399,2791511.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,11/23/20 - 11/29/20,1098,34285.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,11/23/20 - 11/29/20,52,1623.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,11/23/20 - 11/29/20,600,18735.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,11/23/20 - 11/29/20,183,5714.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,11/23/20 - 11/29/20,4,124.0
