geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,08/26/19 - 09/01/19,3159712,41636885.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,08/26/19 - 09/01/19,397,5231.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,08/26/19 - 09/01/19,1207,15905.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,08/26/19 - 09/01/19,2734,36027.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,08/26/19 - 09/01/19,4772,62882.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,08/26/19 - 09/01/19,2398,31599.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,08/26/19 - 09/01/19,289,3808.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,08/26/19 - 09/01/19,93,1225.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,08/26/19 - 09/01/19,477,6285.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,08/26/19 - 09/01/19,74878,986699.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,08/26/19 - 09/01/19,107705,1419275.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,08/26/19 - 09/01/19,509,6707.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,08/26/19 - 09/01/19,216,2846.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,08/26/19 - 09/01/19,4642,61169.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,08/26/19 - 09/01/19,2575,33931.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,08/26/19 - 09/01/19,717,9448.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,08/26/19 - 09/01/19,816,10752.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,08/26/19 - 09/01/19,4462,58797.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,08/26/19 - 09/01/19,12516,164928.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,08/26/19 - 09/01/19,329,4335.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,08/26/19 - 09/01/19,794,10462.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,08/26/19 - 09/01/19,976,12861.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,08/26/19 - 09/01/19,1927,25392.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,08/26/19 - 09/01/19,1112,14653.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,08/26/19 - 09/01/19,35372,466112.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,08/26/19 - 09/01/19,3567,47003.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,08/26/19 - 09/01/19,314,4137.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,08/26/19 - 09/01/19,603,7945.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,08/26/19 - 09/01/19,2143,28239.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,08/26/19 - 09/01/19,210,2767.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,08/26/19 - 09/01/19,868,11438.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,08/26/19 - 09/01/19,802,10568.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,08/26/19 - 09/01/19,4068,53605.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,08/26/19 - 09/01/19,6031,79473.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,08/26/19 - 09/01/19,150,1976.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,08/26/19 - 09/01/19,3127,41205.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,08/26/19 - 09/01/19,1439,18962.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,08/26/19 - 09/01/19,388,5112.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,08/26/19 - 09/01/19,1602,21110.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,08/26/19 - 09/01/19,108,1423.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,08/26/19 - 09/01/19,4780,62988.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,08/26/19 - 09/01/19,245,3228.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,08/26/19 - 09/01/19,44394,584998.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,08/26/19 - 09/01/19,21364,281522.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,08/26/19 - 09/01/19,617,8130.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,08/26/19 - 09/01/19,175,2306.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,08/26/19 - 09/01/19,3316,43696.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,08/26/19 - 09/01/19,1015,13375.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,08/26/19 - 09/01/19,380,5007.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,08/26/19 - 09/01/19,927,12215.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,08/26/19 - 09/01/19,467,6153.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,08/26/19 - 09/01/19,47,619.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,08/26/19 - 09/01/19,182,4615.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,08/26/19 - 09/01/19,170721,4329901.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,08/26/19 - 09/01/19,443,11235.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,08/26/19 - 09/01/19,48,1217.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,08/26/19 - 09/01/19,1513,38373.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,08/26/19 - 09/01/19,510,12934.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,08/26/19 - 09/01/19,25,634.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,08/26/19 - 09/01/19,4,101.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,08/26/19 - 09/01/19,4,101.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,08/26/19 - 09/01/19,522,13239.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,08/26/19 - 09/01/19,312,7913.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,08/26/19 - 09/01/19,495,12554.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,08/26/19 - 09/01/19,264,6695.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,08/26/19 - 09/01/19,240,6086.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,08/26/19 - 09/01/19,185,4692.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,08/26/19 - 09/01/19,16,405.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,08/26/19 - 09/01/19,43,1090.0
